rating,sentiment
5.0,Positive
5.0,Positive
4.7,Positive
4.9,Positive
5.0,Positive
5.0,Positive
4.8,Positive
4.6,Positive
4.3,Positive
4.9,Positive
4.6,Positive
5.0,Positive
5.0,Positive
4.4,Positive
4.5,Positive
4.7,Positive
4.5,Positive
4.6,Positive
4.9,Positive
5.0,Positive
4.8,Positive
5.0,Positive
4.7,Positive
4.5,Positive
4.7,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.9,Positive
4.7,Positive
4.8,Positive
5.0,Positive
4.8,Positive
4.9,Positive
4.1,Positive
4.3,Positive
4.5,Positive
4.6,Positive
4.7,Positive
4.7,Positive
4.6,Positive
4.9,Positive
4.6,Positive
4.6,Positive
5.0,Positive
5.0,Positive
4.4,Positive
4.6,Positive
5.0,Positive
4.3,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.9,Positive
4.6,Positive
4.6,Positive
5.0,Positive
4.7,Positive
4.8,Positive
4.7,Positive
3.9,Negative
4.4,Positive
5.0,Positive
4.3,Positive
5.0,Positive
4.7,Positive
5.0,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.6,Positive
5.0,Positive
5.0,Positive
4.9,Positive
4.6,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.5,Positive
4.7,Positive
4.6,Positive
4.2,Positive
4.9,Positive
5.0,Positive
4.6,Positive
4.3,Positive
4.5,Positive
4.8,Positive
4.8,Positive
3.9,Negative
4.6,Positive
4.8,Positive
4.6,Positive
4.8,Positive
4.9,Positive
4.5,Positive
4.3,Positive
5.0,Positive
5.0,Positive
4.9,Positive
4.6,Positive
5.0,Positive
4.3,Positive
4.2,Positive
5.0,Positive
4.8,Positive
5.0,Positive
4.7,Positive
4.6,Positive
4.9,Positive
5.0,Positive
4.8,Positive
5.0,Positive
4.4,Positive
4.2,Positive
5.0,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.9,Positive
4.4,Positive
4.6,Positive
4.8,Positive
4.5,Positive
5.0,Positive
4.5,Positive
4.7,Positive
4.8,Positive
4.5,Positive
4.2,Positive
4.0,Positive
4.6,Positive
4.7,Positive
4.6,Positive
4.5,Positive
5.0,Positive
4.7,Positive
4.8,Positive
5.0,Positive
4.5,Positive
4.8,Positive
4.4,Positive
4.8,Positive
5.0,Positive
4.3,Positive
4.3,Positive
4.3,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.8,Positive
4.6,Positive
5.0,Positive
4.6,Positive
4.1,Positive
4.7,Positive
4.5,Positive
4.8,Positive
4.9,Positive
4.9,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.7,Positive
4.6,Positive
4.4,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.6,Positive
5.0,Positive
4.8,Positive
4.9,Positive
4.9,Positive
4.8,Positive
4.9,Positive
4.6,Positive
5.0,Positive
4.9,Positive
4.2,Positive
4.8,Positive
4.4,Positive
5.0,Positive
4.9,Positive
4.5,Positive
4.5,Positive
4.5,Positive
4.7,Positive
5.0,Positive
4.8,Positive
4.8,Positive
4.6,Positive
5.0,Positive
4.5,Positive
4.8,Positive
4.4,Positive
4.1,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.7,Positive
4.5,Positive
4.8,Positive
4.6,Positive
4.6,Positive
4.9,Positive
5.0,Positive
4.6,Positive
5.0,Positive
4.8,Positive
4.6,Positive
4.7,Positive
4.2,Positive
4.5,Positive
4.9,Positive
5.0,Positive
4.6,Positive
5.0,Positive
4.9,Positive
4.7,Positive
4.7,Positive
4.5,Positive
5.0,Positive
5.0,Positive
4.8,Positive
4.9,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.7,Positive
4.6,Positive
5.0,Positive
4.7,Positive
3.8,Negative
4.7,Positive
5.0,Positive
4.8,Positive
4.2,Positive
4.9,Positive
4.7,Positive
4.4,Positive
4.6,Positive
4.7,Positive
5.0,Positive
4.1,Positive
5.0,Positive
4.3,Positive
4.9,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.9,Positive
4.7,Positive
4.9,Positive
5.0,Positive
5.0,Positive
4.5,Positive
4.6,Positive
5.0,Positive
4.7,Positive
4.4,Positive
4.4,Positive
5.0,Positive
4.5,Positive
4.4,Positive
5.0,Positive
4.9,Positive
4.8,Positive
4.8,Positive
5.0,Positive
4.7,Positive
4.6,Positive
4.6,Positive
4.6,Positive
4.9,Positive
4.7,Positive
4.8,Positive
5.0,Positive
4.4,Positive
4.3,Positive
4.8,Positive
4.9,Positive
4.7,Positive
4.3,Positive
4.3,Positive
4.8,Positive
4.7,Positive
5.0,Positive
4.6,Positive
4.4,Positive
4.5,Positive
4.6,Positive
4.4,Positive
4.7,Positive
4.8,Positive
5.0,Positive
3.9,Negative
4.1,Positive
4.4,Positive
5.0,Positive
5.0,Positive
4.6,Positive
4.4,Positive
4.9,Positive
4.5,Positive
4.7,Positive
4.3,Positive
4.4,Positive
4.6,Positive
4.9,Positive
5.0,Positive
4.9,Positive
5.0,Positive
5.0,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.9,Positive
4.6,Positive
5.0,Positive
5.0,Positive
4.8,Positive
4.4,Positive
4.9,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.7,Positive
4.5,Positive
5.0,Positive
4.4,Positive
5.0,Positive
4.3,Positive
4.6,Positive
4.4,Positive
4.5,Positive
4.8,Positive
4.9,Positive
5.0,Positive
4.3,Positive
4.4,Positive
4.9,Positive
4.5,Positive
4.8,Positive
4.9,Positive
4.5,Positive
4.6,Positive
5.0,Positive
4.9,Positive
4.9,Positive
5.0,Positive
4.4,Positive
4.8,Positive
4.5,Positive
4.6,Positive
4.6,Positive
4.7,Positive
4.1,Positive
4.4,Positive
5.0,Positive
4.9,Positive
4.6,Positive
4.5,Positive
5.0,Positive
5.0,Positive
4.6,Positive
5.0,Positive
4.4,Positive
4.5,Positive
4.7,Positive
4.8,Positive
4.6,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.8,Positive
4.8,Positive
4.8,Positive
5.0,Positive
4.3,Positive
5.0,Positive
5.0,Positive
4.3,Positive
5.0,Positive
4.3,Positive
4.8,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.9,Positive
4.6,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.4,Positive
4.2,Positive
5.0,Positive
5.0,Positive
4.6,Positive
4.9,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.6,Positive
4.2,Positive
5.0,Positive
4.8,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.6,Positive
4.1,Positive
5.0,Positive
4.9,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.6,Positive
4.7,Positive
4.7,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.9,Positive
4.9,Positive
5.0,Positive
4.8,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.8,Positive
4.9,Positive
4.6,Positive
5.0,Positive
4.7,Positive
4.8,Positive
4.5,Positive
4.3,Positive
4.7,Positive
5.0,Positive
4.8,Positive
4.9,Positive
4.9,Positive
5.0,Positive
4.3,Positive
4.4,Positive
4.7,Positive
4.7,Positive
4.4,Positive
4.7,Positive
4.8,Positive
4.7,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.1,Positive
4.5,Positive
5.0,Positive
5.0,Positive
4.8,Positive
4.8,Positive
4.3,Positive
4.6,Positive
4.7,Positive
4.8,Positive
4.4,Positive
5.0,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.9,Positive
4.7,Positive
4.4,Positive
4.4,Positive
4.6,Positive
5.0,Positive
4.4,Positive
4.9,Positive
5.0,Positive
4.5,Positive
4.3,Positive
4.5,Positive
5.0,Positive
5.0,Positive
4.4,Positive
5.0,Positive
4.8,Positive
5.0,Positive
4.0,Positive
5.0,Positive
4.9,Positive
4.7,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.1,Positive
4.4,Positive
5.0,Positive
5.0,Positive
4.6,Positive
3.9,Negative
5.0,Positive
5.0,Positive
4.3,Positive
5.0,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.7,Positive
4.7,Positive
4.8,Positive
4.9,Positive
4.9,Positive
4.9,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.7,Positive
4.6,Positive
5.0,Positive
4.3,Positive
5.0,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.7,Positive
4.8,Positive
5.0,Positive
4.5,Positive
5.0,Positive
5.0,Positive
4.9,Positive
4.7,Positive
5.0,Positive
5.0,Positive
4.5,Positive
4.6,Positive
4.6,Positive
4.6,Positive
5.0,Positive
4.4,Positive
5.0,Positive
4.9,Positive
4.4,Positive
5.0,Positive
4.6,Positive
5.0,Positive
4.6,Positive
4.0,Positive
5.0,Positive
4.9,Positive
4.6,Positive
5.0,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.8,Positive
4.5,Positive
4.8,Positive
5.0,Positive
4.9,Positive
4.5,Positive
4.9,Positive
4.4,Positive
4.9,Positive
5.0,Positive
4.6,Positive
5.0,Positive
4.8,Positive
4.9,Positive
5.0,Positive
4.7,Positive
4.8,Positive
4.8,Positive
4.7,Positive
4.3,Positive
4.7,Positive
4.9,Positive
4.9,Positive
4.7,Positive
5.0,Positive
5.0,Positive
4.8,Positive
4.8,Positive
4.5,Positive
4.7,Positive
4.6,Positive
4.8,Positive
4.7,Positive
4.5,Positive
4.4,Positive
5.0,Positive
4.9,Positive
5.0,Positive
5.0,Positive
4.8,Positive
5.0,Positive
4.6,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.6,Positive
5.0,Positive
4.2,Positive
4.8,Positive
4.9,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.8,Positive
5.0,Positive
4.8,Positive
4.7,Positive
4.5,Positive
4.5,Positive
4.9,Positive
4.9,Positive
5.0,Positive
4.8,Positive
4.7,Positive
4.9,Positive
4.7,Positive
4.9,Positive
4.7,Positive
4.7,Positive
4.5,Positive
5.0,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.7,Positive
4.6,Positive
4.3,Positive
5.0,Positive
4.8,Positive
5.0,Positive
4.8,Positive
4.6,Positive
5.0,Positive
4.3,Positive
4.7,Positive
5.0,Positive
4.9,Positive
4.9,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.5,Positive
4.7,Positive
5.0,Positive
4.8,Positive
4.4,Positive
4.8,Positive
5.0,Positive
4.5,Positive
5.0,Positive
4.6,Positive
4.8,Positive
4.7,Positive
4.7,Positive
4.7,Positive
4.6,Positive
4.4,Positive
5.0,Positive
5.0,Positive
4.5,Positive
4.3,Positive
4.9,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.6,Positive
4.8,Positive
4.6,Positive
5.0,Positive
4.5,Positive
4.7,Positive
4.9,Positive
4.6,Positive
4.4,Positive
4.6,Positive
4.6,Positive
4.6,Positive
4.6,Positive
4.6,Positive
4.3,Positive
4.3,Positive
4.6,Positive
4.7,Positive
4.9,Positive
4.4,Positive
4.4,Positive
5.0,Positive
4.3,Positive
4.9,Positive
5.0,Positive
5.0,Positive
4.6,Positive
4.8,Positive
4.4,Positive
4.9,Positive
4.8,Positive
4.6,Positive
4.9,Positive
5.0,Positive
4.7,Positive
4.9,Positive
5.0,Positive
4.6,Positive
5.0,Positive
5.0,Positive
4.6,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.3,Positive
4.8,Positive
4.9,Positive
4.8,Positive
5.0,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.8,Positive
4.9,Positive
5.0,Positive
4.4,Positive
4.4,Positive
5.0,Positive
5.0,Positive
4.6,Positive
4.7,Positive
5.0,Positive
5.0,Positive
4.2,Positive
4.9,Positive
4.7,Positive
4.6,Positive
4.9,Positive
5.0,Positive
4.9,Positive
4.3,Positive
3.6,Negative
4.7,Positive
4.9,Positive
4.6,Positive
5.0,Positive
4.9,Positive
4.3,Positive
5.0,Positive
4.7,Positive
4.8,Positive
4.9,Positive
4.7,Positive
4.5,Positive
4.4,Positive
4.7,Positive
5.0,Positive
5.0,Positive
4.5,Positive
4.9,Positive
5.0,Positive
5.0,Positive
4.5,Positive
5.0,Positive
4.6,Positive
4.9,Positive
4.9,Positive
5.0,Positive
5.0,Positive
4.5,Positive
5.0,Positive
4.7,Positive
4.3,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.4,Positive
4.7,Positive
4.5,Positive
4.6,Positive
4.1,Positive
5.0,Positive
4.6,Positive
5.0,Positive
4.6,Positive
4.8,Positive
4.5,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.3,Positive
3.9,Negative
4.8,Positive
4.1,Positive
4.9,Positive
5.0,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.8,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.8,Positive
5.0,Positive
3.9,Negative
5.0,Positive
5.0,Positive
4.5,Positive
4.7,Positive
4.4,Positive
4.5,Positive
5.0,Positive
4.3,Positive
4.9,Positive
4.8,Positive
4.8,Positive
4.8,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.6,Positive
4.9,Positive
4.6,Positive
4.8,Positive
4.6,Positive
4.5,Positive
5.0,Positive
4.6,Positive
4.5,Positive
4.7,Positive
4.5,Positive
5.0,Positive
4.9,Positive
4.6,Positive
4.9,Positive
5.0,Positive
4.3,Positive
4.8,Positive
4.8,Positive
5.0,Positive
4.9,Positive
4.2,Positive
5.0,Positive
4.6,Positive
4.8,Positive
4.5,Positive
4.7,Positive
5.0,Positive
4.5,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.9,Positive
4.7,Positive
5.0,Positive
4.4,Positive
5.0,Positive
4.8,Positive
4.5,Positive
4.4,Positive
4.9,Positive
4.5,Positive
4.9,Positive
4.8,Positive
4.1,Positive
5.0,Positive
4.7,Positive
4.8,Positive
4.7,Positive
4.7,Positive
4.7,Positive
5.0,Positive
4.8,Positive
5.0,Positive
4.8,Positive
4.7,Positive
4.9,Positive
4.6,Positive
5.0,Positive
5.0,Positive
4.8,Positive
4.7,Positive
5.0,Positive
5.0,Positive
4.3,Positive
4.9,Positive
4.7,Positive
4.6,Positive
4.4,Positive
4.9,Positive
4.6,Positive
4.4,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.8,Positive
5.0,Positive
4.6,Positive
4.4,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.6,Positive
5.0,Positive
4.7,Positive
4.7,Positive
4.9,Positive
5.0,Positive
4.6,Positive
5.0,Positive
4.9,Positive
5.0,Positive
5.0,Positive
4.9,Positive
4.4,Positive
4.4,Positive
5.0,Positive
5.0,Positive
4.5,Positive
5.0,Positive
4.5,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.9,Positive
4.7,Positive
4.8,Positive
4.1,Positive
5.0,Positive
5.0,Positive
4.8,Positive
5.0,Positive
4.5,Positive
4.2,Positive
4.7,Positive
4.5,Positive
4.4,Positive
5.0,Positive
4.6,Positive
4.2,Positive
5.0,Positive
5.0,Positive
4.9,Positive
4.8,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.7,Positive
4.8,Positive
4.6,Positive
5.0,Positive
4.6,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.8,Positive
4.7,Positive
5.0,Positive
4.5,Positive
4.9,Positive
4.6,Positive
4.6,Positive
5.0,Positive
4.3,Positive
5.0,Positive
4.9,Positive
5.0,Positive
5.0,Positive
4.5,Positive
4.9,Positive
4.8,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.5,Positive
5.0,Positive
4.8,Positive
4.5,Positive
4.7,Positive
4.8,Positive
4.5,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.7,Positive
4.9,Positive
5.0,Positive
5.0,Positive
4.4,Positive
4.9,Positive
4.3,Positive
4.5,Positive
4.5,Positive
4.7,Positive
4.5,Positive
4.3,Positive
4.3,Positive
5.0,Positive
5.0,Positive
4.6,Positive
4.9,Positive
4.9,Positive
4.4,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.6,Positive
4.9,Positive
4.8,Positive
5.0,Positive
4.4,Positive
5.0,Positive
4.3,Positive
4.5,Positive
4.9,Positive
4.9,Positive
4.6,Positive
5.0,Positive
4.7,Positive
4.9,Positive
4.8,Positive
4.6,Positive
5.0,Positive
5.0,Positive
4.5,Positive
5.0,Positive
5.0,Positive
4.8,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.7,Positive
4.7,Positive
4.1,Positive
4.8,Positive
4.6,Positive
4.6,Positive
4.4,Positive
4.8,Positive
5.0,Positive
4.5,Positive
4.2,Positive
4.0,Positive
4.7,Positive
4.8,Positive
5.0,Positive
4.6,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.4,Positive
4.9,Positive
4.5,Positive
5.0,Positive
5.0,Positive
4.6,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.7,Positive
4.7,Positive
4.8,Positive
4.5,Positive
4.8,Positive
4.4,Positive
4.3,Positive
5.0,Positive
4.3,Positive
5.0,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.4,Positive
5.0,Positive
4.6,Positive
4.8,Positive
4.8,Positive
4.6,Positive
4.9,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.8,Positive
4.7,Positive
4.6,Positive
5.0,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.9,Positive
4.9,Positive
5.0,Positive
4.8,Positive
5.0,Positive
4.0,Positive
4.6,Positive
5.0,Positive
4.5,Positive
4.3,Positive
4.9,Positive
5.0,Positive
4.7,Positive
4.4,Positive
4.9,Positive
4.4,Positive
4.7,Positive
4.5,Positive
4.9,Positive
5.0,Positive
5.0,Positive
4.6,Positive
5.0,Positive
4.1,Positive
4.3,Positive
4.8,Positive
4.9,Positive
4.2,Positive
4.8,Positive
4.3,Positive
5.0,Positive
5.0,Positive
4.5,Positive
4.5,Positive
5.0,Positive
4.9,Positive
4.7,Positive
4.6,Positive
5.0,Positive
4.7,Positive
4.6,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.6,Positive
4.8,Positive
4.7,Positive
4.5,Positive
4.8,Positive
4.4,Positive
4.3,Positive
4.9,Positive
5.0,Positive
4.5,Positive
5.0,Positive
4.9,Positive
4.7,Positive
4.2,Positive
4.6,Positive
4.8,Positive
4.3,Positive
5.0,Positive
4.1,Positive
5.0,Positive
5.0,Positive
3.9,Negative
5.0,Positive
4.8,Positive
5.0,Positive
4.9,Positive
4.6,Positive
4.9,Positive
4.9,Positive
5.0,Positive
4.1,Positive
4.7,Positive
4.2,Positive
4.9,Positive
5.0,Positive
4.6,Positive
4.3,Positive
5.0,Positive
4.5,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.5,Positive
4.6,Positive
4.9,Positive
4.1,Positive
5.0,Positive
4.7,Positive
4.6,Positive
5.0,Positive
4.9,Positive
4.9,Positive
4.4,Positive
4.7,Positive
4.5,Positive
4.3,Positive
4.6,Positive
5.0,Positive
4.3,Positive
5.0,Positive
5.0,Positive
4.2,Positive
4.8,Positive
4.9,Positive
4.9,Positive
5.0,Positive
4.9,Positive
4.1,Positive
4.6,Positive
4.6,Positive
4.2,Positive
4.7,Positive
4.5,Positive
4.7,Positive
4.5,Positive
5.0,Positive
4.6,Positive
4.6,Positive
4.7,Positive
5.0,Positive
4.6,Positive
4.3,Positive
5.0,Positive
4.0,Positive
4.3,Positive
4.2,Positive
5.0,Positive
4.9,Positive
4.5,Positive
5.0,Positive
4.8,Positive
4.5,Positive
4.5,Positive
4.6,Positive
5.0,Positive
5.0,Positive
4.5,Positive
4.6,Positive
4.2,Positive
4.7,Positive
4.5,Positive
4.8,Positive
4.4,Positive
5.0,Positive
4.3,Positive
4.3,Positive
4.3,Positive
5.0,Positive
4.9,Positive
4.5,Positive
4.5,Positive
4.8,Positive
4.8,Positive
4.8,Positive
4.7,Positive
4.7,Positive
5.0,Positive
5.0,Positive
4.9,Positive
4.9,Positive
5.0,Positive
4.7,Positive
4.6,Positive
4.7,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.6,Positive
5.0,Positive
5.0,Positive
4.6,Positive
4.4,Positive
4.6,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.6,Positive
5.0,Positive
4.3,Positive
4.4,Positive
4.9,Positive
4.7,Positive
4.6,Positive
4.5,Positive
4.8,Positive
4.8,Positive
4.7,Positive
4.8,Positive
4.0,Positive
4.6,Positive
4.5,Positive
4.8,Positive
4.4,Positive
4.3,Positive
4.9,Positive
4.2,Positive
4.7,Positive
4.8,Positive
5.0,Positive
4.8,Positive
4.9,Positive
4.7,Positive
4.3,Positive
3.9,Negative
4.6,Positive
5.0,Positive
4.3,Positive
5.0,Positive
4.9,Positive
5.0,Positive
5.0,Positive
4.3,Positive
4.3,Positive
4.1,Positive
5.0,Positive
4.6,Positive
5.0,Positive
5.0,Positive
4.8,Positive
4.6,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.6,Positive
4.8,Positive
4.5,Positive
4.8,Positive
4.8,Positive
4.9,Positive
4.7,Positive
4.6,Positive
4.9,Positive
5.0,Positive
4.7,Positive
4.9,Positive
4.7,Positive
4.7,Positive
5.0,Positive
4.9,Positive
4.7,Positive
4.8,Positive
5.0,Positive
4.8,Positive
4.6,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.9,Positive
4.8,Positive
5.0,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.8,Positive
4.3,Positive
4.7,Positive
4.6,Positive
4.5,Positive
5.0,Positive
4.6,Positive
4.3,Positive
4.9,Positive
5.0,Positive
4.7,Positive
5.0,Positive
5.0,Positive
5.0,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.4,Positive
5.0,Positive
4.9,Positive
4.7,Positive
4.6,Positive
4.8,Positive
5.0,Positive
3.8,Negative
5.0,Positive
5.0,Positive
5.0,Positive
4.9,Positive
5.0,Positive
5.0,Positive
4.8,Positive
5.0,Positive
4.6,Positive
4.4,Positive
5.0,Positive
5.0,Positive
4.5,Positive
4.8,Positive
5.0,Positive
4.4,Positive
4.4,Positive
5.0,Positive
4.3,Positive
4.4,Positive
5.0,Positive
4.8,Positive
4.9,Positive
4.7,Positive
4.8,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.4,Positive
5.0,Positive
4.5,Positive
5.0,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.4,Positive
4.8,Positive
4.5,Positive
4.9,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.7,Positive
5.0,Positive
5.0,Positive
4.5,Positive
4.9,Positive
5.0,Positive
4.8,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.5,Positive
5.0,Positive
4.4,Positive
5.0,Positive
4.6,Positive
4.8,Positive
4.8,Positive
4.2,Positive
4.4,Positive
4.5,Positive
4.9,Positive
4.8,Positive
5.0,Positive
4.5,Positive
4.5,Positive
5.0,Positive
4.5,Positive
4.4,Positive
5.0,Positive
4.7,Positive
4.8,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.5,Positive
5.0,Positive
4.7,Positive
4.9,Positive
5.0,Positive
4.7,Positive
4.7,Positive
3.9,Negative
4.7,Positive
4.9,Positive
5.0,Positive
4.4,Positive
4.7,Positive
4.8,Positive
4.8,Positive
5.0,Positive
4.6,Positive
4.8,Positive
4.1,Positive
4.8,Positive
4.9,Positive
4.6,Positive
4.5,Positive
4.9,Positive
4.8,Positive
4.8,Positive
4.9,Positive
4.6,Positive
4.9,Positive
4.2,Positive
5.0,Positive
4.2,Positive
5.0,Positive
5.0,Positive
4.9,Positive
4.3,Positive
4.9,Positive
4.0,Positive
4.9,Positive
4.4,Positive
4.9,Positive
4.8,Positive
4.4,Positive
5.0,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.9,Positive
4.7,Positive
5.0,Positive
5.0,Positive
4.5,Positive
4.8,Positive
5.0,Positive
4.2,Positive
4.5,Positive
4.6,Positive
5.0,Positive
4.3,Positive
4.9,Positive
4.9,Positive
4.4,Positive
5.0,Positive
4.8,Positive
4.8,Positive
4.9,Positive
4.5,Positive
4.7,Positive
5.0,Positive
4.3,Positive
4.8,Positive
4.4,Positive
4.7,Positive
4.6,Positive
4.7,Positive
5.0,Positive
4.8,Positive
5.0,Positive
4.9,Positive
5.0,Positive
5.0,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.8,Positive
4.3,Positive
4.7,Positive
4.8,Positive
5.0,Positive
4.6,Positive
4.6,Positive
5.0,Positive
5.0,Positive
4.7,Positive
4.9,Positive
4.9,Positive
4.2,Positive
4.3,Positive
5.0,Positive
4.7,Positive
4.8,Positive
4.9,Positive
4.2,Positive
5.0,Positive
4.6,Positive
5.0,Positive
5.0,Positive
4.7,Positive
4.1,Positive
4.2,Positive
4.8,Positive
4.4,Positive
5.0,Positive
5.0,Positive
4.8,Positive
4.2,Positive
4.5,Positive
5.0,Positive
4.8,Positive
4.8,Positive
4.3,Positive
4.8,Positive
4.6,Positive
4.2,Positive
5.0,Positive
4.9,Positive
4.6,Positive
5.0,Positive
4.3,Positive
5.0,Positive
4.6,Positive
4.5,Positive
5.0,Positive
4.3,Positive
4.7,Positive
4.8,Positive
3.8,Negative
4.8,Positive
4.5,Positive
5.0,Positive
5.0,Positive
4.4,Positive
5.0,Positive
4.4,Positive
4.9,Positive
4.4,Positive
5.0,Positive
5.0,Positive
4.5,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.6,Positive
5.0,Positive
4.9,Positive
4.9,Positive
4.9,Positive
4.9,Positive
4.6,Positive
5.0,Positive
4.6,Positive
5.0,Positive
4.6,Positive
4.0,Positive
4.5,Positive
5.0,Positive
4.7,Positive
5.0,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.7,Positive
4.9,Positive
4.5,Positive
5.0,Positive
4.8,Positive
4.6,Positive
5.0,Positive
5.0,Positive
4.6,Positive
4.5,Positive
5.0,Positive
4.1,Positive
5.0,Positive
4.9,Positive
4.7,Positive
4.7,Positive
5.0,Positive
4.9,Positive
5.0,Positive
5.0,Positive
4.8,Positive
5.0,Positive
4.0,Positive
4.8,Positive
4.7,Positive
5.0,Positive
4.2,Positive
4.9,Positive
5.0,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.8,Positive
4.6,Positive
4.3,Positive
5.0,Positive
4.8,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.6,Positive
4.6,Positive
4.6,Positive
4.5,Positive
4.9,Positive
5.0,Positive
4.5,Positive
4.8,Positive
5.0,Positive
4.9,Positive
5.0,Positive
4.7,Positive
4.5,Positive
4.9,Positive
4.9,Positive
4.7,Positive
4.6,Positive
5.0,Positive
4.7,Positive
5.0,Positive
4.8,Positive
5.0,Positive
5.0,Positive
4.7,Positive
4.5,Positive
5.0,Positive
4.8,Positive
5.0,Positive
5.0,Positive
5.0,Positive
4.7,Positive
4.9,Positive
4.7,Positive
4.7,Positive
4.4,Positive
5.0,Positive
4.8,Positive
4.5,Positive
4.6,Positive
5.0,Positive
5.0,Positive
4.5,Positive
4.8,Positive
4.4,Positive
4.7,Positive
4.2,Positive
5.0,Positive
5.0,Positive
4.4,Positive
4.7,Positive
4.7,Positive
5.0,Positive
4.9,Positive
4.8,Positive
4.8,Positive
4.9,Positive
5.0,Positive
5.0,Positive
4.5,Positive
4.4,Positive
3.7,Negative
4.0,Positive
